=== REPORTE DE ERRORES ORTOGRÁFICOS Y DE ACENTUACIÓN ===

1introduccion.tex:22 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: En el capítulo \ref{cap:alcance} se describe el alcance del sistema, presentando los usuarios y áreas involucradas, los requerimientos del usuario y la arquitectura general del sistema.
5ModeloDeInteraccion.tex:202 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: accesible desde el botón \IUbutton{Consultar usuarios} de la
5ModeloDeInteraccion.tex:212 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUfig[.9]{ListaUsuarios}{IU03}{Pantalla de Consulta de Usuarios.}
5ModeloDeInteraccion.tex:228 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item Mensaje \MSGref{MSG03}{Sin usuarios registrados} en caso de
5ModeloDeInteraccion.tex:280 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:292 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: al sistema: correo electrónico y contraseña provisional.
5ModeloDeInteraccion.tex:355 | Found: 'Contraseña' | Suggestion: 'contraseña' | Context: \item \textbf{Contraseña Provisional:} Campo de texto enmascarado
5ModeloDeInteraccion.tex:372 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios}. Si hay campos
5ModeloDeInteraccion.tex:380 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios} sin realizar
5ModeloDeInteraccion.tex:397 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: usuario en la \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:409 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: desee cambiar el domicilio. El campo de contraseña se muestra vacío
5ModeloDeInteraccion.tex:410 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: por seguridad; si se deja vacío al guardar, la contraseña actual
5ModeloDeInteraccion.tex:477 | Found: 'Contraseña' | Suggestion: 'contraseña' | Context: \item \textbf{Contraseña:} Campo de texto enmascarado opcional.
5ModeloDeInteraccion.tex:479 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: la contraseña actual del usuario se conserva sin cambios.
5ModeloDeInteraccion.tex:494 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: y regresa a la \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:504 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios} conservando los
5ModeloDeInteraccion.tex:521 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:559 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: en la \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:578 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios}.
5ModeloDeInteraccion.tex:581 | Found: 'Usuarios' | Suggestion: 'usuarios' | Context: \IUref{IU03}{Pantalla de Consulta de Usuarios} sin realizar
5-1-Mensajes.tex:43 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: o la contraseña ingresados no son válidos.
5-1-Mensajes.tex:44 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: \item[Redacción:] El correo electrónico o la contraseña
5-1-Mensajes.tex:51 | Found: 'contraseña' | Suggestion: 'contraseña' | Context: \item[Ejemplos:] El correo electrónico o la contraseña
5-1-Mensajes.tex:279 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \begin{cdtMessage}[msgWarningColor]{MSG18}{Sin usuarios registrados}
5-1-Mensajes.tex:282 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item[Redacción:] No hay usuarios registrados en el sistema.
5-1-Mensajes.tex:287 | Found: 'usuarios' | Suggestion: 'usuarios' | Context: \item[Ejemplos:] No hay usuarios registrados en el sistema.
